amount,hour,merchant_category,city,is_weekend,is_fraud
75.8,17,school,Mbarara,True,0
34.77,13,grocery_store,Gulu,True,0
14.65,19,mobile_money,Entebbe,True,0
132.0,13,mobile_money,Mbarara,True,0
25.81,10,hospital,Kampala,True,0
253.75,14,pharmacy,Lira,True,0
151.74,14,grocery_store,Gulu,True,0
58.8,15,transport,Entebbe,True,0
633.15,14,grocery_store,Lira,True,0
6.66,16,supermarket,Entebbe,True,0
275.67,13,restaurant,Mbarara,True,0
242.71,18,telecom,Gulu,True,0
83.57,13,transport,Gulu,True,0
50.13,13,school,Gulu,True,0
3.92,13,hospital,Lira,True,0
31.36,17,electronics,Lira,True,0
3.18,19,pharmacy,Jinja,True,0
15.05,15,pharmacy,Jinja,True,0
11.38,8,pharmacy,Kampala,False,0
4.56,8,fuel_station,Lira,False,0
6.42,10,transport,Kampala,True,0
83.63,10,pharmacy,Jinja,True,0
7.41,8,grocery_store,Lira,False,0
29.71,13,grocery_store,Entebbe,True,0
93.16,8,clothing,Mbarara,False,0
48.69,11,hospital,Gulu,True,0
279.06,19,clothing,Gulu,True,0
70.66,15,grocery_store,Gulu,True,0
22.27,15,fuel_station,Jinja,True,0
158.42,13,restaurant,Kampala,True,0
47.92,17,clothing,Gulu,True,0
39.97,17,restaurant,Jinja,True,0
1.23,10,supermarket,Gulu,True,0
34.27,11,hospital,Gulu,True,0
2.99,13,restaurant,Entebbe,True,0
2.71,13,school,Jinja,True,0
1.49,15,hospital,Entebbe,True,0
75.69,14,clothing,Entebbe,True,0
136.06,18,hospital,Jinja,True,0
44.22,15,mobile_money,Kampala,True,0
521.75,14,transport,Mbarara,True,0
7.62,18,restaurant,Jinja,True,0
60.35,10,supermarket,Lira,True,0
483.54,10,transport,Gulu,True,0
6.49,13,supermarket,Entebbe,True,0
39.99,11,mobile_money,Mbarara,True,0
1.51,12,mobile_money,Gulu,True,0
1.47,18,mobile_money,Gulu,True,0
90.69,9,supermarket,Mbarara,False,0
15.08,16,school,Mbarara,True,0
2.55,12,telecom,Entebbe,True,0
76.74,17,transport,Entebbe,True,0
